Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
169,577.1929,520.8695,631.5789,840.9801,1001.6729
170,571.0526,521.7391,628.9473,846.0228,996.9391
171,575.4385,523.4782,630.7017,850.9685,1001.4708
172,575.4385,523.4782,623.6842,856.0122,997.0662
173,575.4385,522.6087,620.1754,860.9562,994.4179
174,578.0701,525.2174,629.8245,865.9084,1003.3431
175,575.4385,529.5652,625.4385,870.9458,1001.3702
176,578.9473,527.8261,625.4385,875.9856,1002.4738
177,578.9473,526.9565,626.3157,881.0300,1002.5640
178,578.9473,526.0869,628.0701,886.0684,1003.2047
179,578.9473,527.8261,624.5614,891.0959,1001.9268
180,578.0701,525.2174,631.5789,896.1370,1004.4453
181,577.1929,520.8695,627.1929,901.1733,998.9133
182,578.0701,519.1304,626.3157,906.1234,997.9644
183,578.9473,517.3912,628.9473,911.0644,999.2239
184,580.7017,515.6521,626.3157,916.0112,997.6889
185,579.8245,517.3912,628.0701,920.9583,999.1809
186,578.0701,515.6521,631.5789,925.9055,999.4769
187,575.4385,516.5217,627.1929,930.8551,995.6381
188,578.9473,511.3043,628.0701,935.8055,995.5322
189,573.6842,506.9565,620.1754,940.7564,985.2593
190,575.4385,507.8260,623.6842,945.6977,988.9382
191,573.6842,506.9565,621.9298,950.6427,986.3646
192,576.3157,506.9565,620.1754,955.5889,986.7939
193,575.4385,504.3478,618.4210,960.5296,983.8399
194,578.0701,506.0869,619.2982,965.4714,986.8228
195,577.1929,505.2173,614.0350,970.4039,982.5657
196,577.1929,506.0869,618.4210,975.3370,985.7587
197,574.5614,503.4782,619.2982,980.2723,983.4335
198,566.6666,506.0869,621.0526,985.2244,981.2958
199,567.5438,509.5652,618.4210,990.1673,981.9406
200,581.5789,512.1738,621.9298,995.1189,993.6563
201,587.7192,520.0000,614.9122,1000.0671,996.9609
202,584.2105,514.7825,621.9298,1005.0877,996.5438
203,580.7017,508.6956,622.8070,1010.1250,991.9044
204,581.5789,511.3043,624.5614,1015.1667,994.8583
205,575.4385,504.3478,620.1754,1020.2077,984.9436
206,574.5614,509.5652,611.4035,1025.2467,981.6270
207,572.8070,504.3478,623.6842,1030.2969,985.6250
208,578.0701,494.7826,624.5614,1035.3283,984.4043
209,578.9473,494.7826,624.5614,1040.3526,984.9197
210,578.9473,500.8695,620.1754,1045.3840,985.2247
211,584.2105,496.5217,624.5614,1050.4143,988.8946
212,585.9649,497.3912,623.6842,1055.4434,989.8156
213,587.7192,499.1304,628.0701,1060.4758,994.4935
214,591.2280,495.6521,628.0701,1065.5001,994.8336
215,592.9824,493.0434,626.3157,1070.5270,993.4744
216,588.5964,490.4347,622.8070,1075.5524,987.3503
217,587.7192,490.4347,625.4385,1080.5865,988.4906
218,585.0877,488.6956,622.8070,1085.6188,984.3981
219,581.5789,487.8260,622.8070,1090.6459,981.8843
220,578.0701,489.5652,622.8070,1095.6816,980.6772
221,585.0877,493.9130,617.5438,1100.7097,983.6860
222,585.9649,486.0869,621.0526,1105.7404,982.5180
223,588.5964,489.5652,616.6666,1110.7653,983.0552
224,585.0877,493.9130,618.4210,1115.7917,984.2369
225,589.4736,492.1739,613.1578,1120.8215,982.6886
226,586.8421,493.9130,615.7894,1125.8615,983.6312
