Sample, accel, ADC_0, ADC_1, ADC_2, Interval,,time, acceleration
115,1139.4614,739.4736,594.7825,630.7017,5.2814,,600.2187,1139.4614
116,1140.3702,739.4736,596.5217,630.7017,5.2851,,605.5038,1140.3702
117,1135.4741,737.7192,593.0434,627.1929,5.2722,,610.776,1135.4741
118,1135.0217,734.2105,596.5217,627.1929,5.2673,,616.0433,1135.0217
119,1138.8034,738.5964,597.3912,628.0701,5.28,,621.3233,1138.8034
120,1139.3468,738.5964,595.6521,630.7017,5.2693,,626.5926,1139.3468
121,1138.2347,737.7192,597.3912,628.0701,5.2743,,631.8669,1138.2347
122,1136.8387,737.7192,595.6521,627.1929,5.2787,,637.1456,1136.8387
123,1136.9346,734.2105,597.3912,629.8245,5.2857,,642.4313,1136.9346
124,1139.0612,740.3508,594.7825,628.9473,5.2727,,647.704,1139.0612
125,1136.2696,736.8421,595.6521,627.1929,5.2694,,652.9734,1136.2696
126,1137.0449,735.0877,596.5217,629.8245,5.283,,658.2564,1137.0449
127,1134.5649,734.2105,595.6521,627.1929,5.2781,,663.5345,1134.5649
128,1137.2099,736.8421,596.5217,628.0701,5.2705,,668.805,1137.2099
129,1139.9421,740.3508,597.3912,628.0701,5.2678,,674.0728,1139.9421
130,1136.1856,735.9649,595.6521,628.0701,5.2792,,679.352,1136.1856
131,1136.4984,738.5964,593.913,627.1929,5.2689,,684.6209,1136.4984
132,1137.4371,738.5964,594.7825,628.0701,5.2727,,689.8936,1137.4371
133,1141.0544,741.228,595.6521,630.7017,5.2809,,695.1745,1141.0544
134,1137.4082,738.5964,595.6521,627.1929,5.2797,,700.4542,1137.4082
135,1130.7795,733.3333,590.4347,626.3157,5.2728,,705.727,1130.7795
136,1135.8272,740.3508,590.4347,627.1929,5.2721,,710.9991,1135.8272
137,1135.7604,735.9649,593.913,628.9473,5.2955,,716.2946,1135.7604
138,1133.281,735.0877,593.0434,626.3157,5.2777,,721.5723,1133.281
139,1135.2167,735.9649,595.6521,626.3157,5.2629,,726.8352,1135.2167
140,1134.3508,735.0877,590.4347,630.7017,5.2852,,732.1204,1134.3508
141,1135.7109,735.0877,593.0434,630.7017,5.2814,,737.4018,1135.7109
