Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
200,574.5614,512.1738,597.3684,982.1959,974.3161
201,593.8596,501.7391,607.8947,987.1424,986.8877
202,582.4561,503.4782,603.5087,992.0972,978.2476
203,586.8421,513.9130,607.0175,997.0449,988.4131
204,604.3859,512.1738,602.6315,1001.9895,995.3739
205,585.9649,513.0434,588.5964,1007.0289,976.2244
206,581.5789,523.4782,590.3508,1012.0603,980.1926
207,585.9649,526.9565,594.7368,1017.0960,987.2942
208,592.1052,522.6087,600.0000,1022.1365,991.8208
209,587.7192,526.9565,585.9649,1027.1569,983.0829
210,589.4736,531.3043,593.8596,1032.1970,991.1774
211,591.2280,533.9130,592.1052,1037.2353,992.5736
212,586.8421,533.0434,589.4736,1042.2753,987.9262
213,591.2280,533.0434,592.1052,1047.3245,992.1061
214,592.9824,530.4347,600.0000,1052.3444,996.4884
215,594.7368,527.8261,599.1228,1057.3557,995.6206
216,589.4736,526.0869,606.1403,1062.3854,995.8176
217,592.9824,528.6956,588.5964,1067.4093,988.7330
218,585.9649,541.7391,597.3684,1072.4407,996.8375
219,600.8771,529.5652,600.0000,1077.4746,1000.7460
220,614.0350,524.3478,607.0175,1082.5743,1010.1732
221,612.2807,520.8695,611.4035,1087.6810,1009.9539
222,594.7368,533.9130,589.4736,1092.8018,993.1033
223,599.1228,525.2174,586.8421,1097.8321,989.5378
224,594.7368,526.0869,605.2631,1102.8732,998.4102
225,578.9473,528.6956,600.8771,1107.9132,987.8018
226,587.7192,526.0869,607.0175,1112.9581,995.3148
227,595.6140,526.0869,609.6491,1117.9906,1001.5964
228,578.0701,523.4782,601.7543,1123.1201,985.0396
229,565.7894,531.3043,602.6315,1128.1508,982.6326
230,582.4561,540.8695,600.8771,1133.1920,996.4177
231,578.0701,541.7391,600.8771,1138.2352,994.3338
232,570.1754,543.4782,598.2456,1143.2736,989.1240
233,566.6666,548.6956,603.5087,1148.3218,993.1771
234,560.5263,548.6956,600.0000,1153.3510,987.5508
235,560.5263,549.5652,607.0175,1158.3612,992.3114
236,557.0175,553.0434,607.8947,1163.3843,992.8048
237,557.8947,553.0434,609.6491,1168.4064,994.3719
238,557.0175,550.4347,603.5087,1173.4323,988.6707
239,552.6315,541.7391,601.7543,1178.4577,980.3016
240,557.8947,545.2174,606.1403,1183.4892,987.8839
241,558.7719,545.2174,608.7719,1188.5194,989.9956
242,565.7894,540.8695,614.0350,1193.5513,994.8350
243,564.0350,545.2174,600.8771,1198.5810,988.1553
244,571.0526,553.9130,600.8771,1203.6048,996.9824
245,567.5438,564.3478,602.6315,1208.6351,1001.8779
246,572.8070,541.7391,606.1403,1213.7559,994.4824
247,572.8070,540.8695,605.2631,1218.7873,993.4743
248,574.5614,534.7825,608.7719,1223.8208,993.3359
249,581.5789,531.3043,609.6491,1228.8640,996.0875
250,585.9649,529.5652,609.6491,1233.9042,997.7305
251,586.8421,533.9130,606.1403,1238.9484,998.4252
252,583.3333,530.4347,607.0175,1243.9934,995.0422
253,588.5964,533.0434,607.0175,1249.0274,999.5255
254,590.3508,535.6521,612.2807,1254.0538,1005.1492
255,592.1052,530.4347,613.1578,1259.1790,1003.9483
256,587.7192,526.9565,613.1578,1264.3167,999.5297
257,578.9473,528.6956,609.6491,1269.3475,993.1622
258,566.6666,528.6956,607.0175,1274.3767,984.4290
259,558.7719,531.3043,606.1403,1279.4019,980.7734
260,553.5087,531.3043,609.6491,1284.4300,979.9634
261,560.5263,525.2174,608.7719,1289.4620,980.1256
262,558.7719,521.7391,614.9122,1294.4906,981.0988
263,556.1403,512.1738,609.6491,1299.5208,971.2292
264,555.2631,513.9130,612.2807,1304.5467,973.2992
265,554.3859,525.2174,606.1403,1309.5766,974.9888
266,558.7719,540.0000,603.5087,1314.6066,983.8947
267,560.5263,541.7391,602.6315,1319.6206,985.3100
268,565.7894,540.8695,602.6315,1324.6519,987.8372
269,560.5263,538.2608,605.2631,1329.6865,985.0167
270,557.0175,538.2608,605.2631,1334.7097,983.0242
271,555.2631,540.8695,600.8771,1339.7274,980.7703
272,563.1578,535.6521,602.6315,1344.7608,983.4810
273,576.3157,538.2608,607.0175,1349.7911,995.1557
274,570.1754,538.2608,617.5438,1354.8127,998.0907
275,575.4385,537.3912,613.1578,1359.8381,997.9386
276,578.0701,534.7825,615.7894,1364.8802,999.6770
277,574.5614,540.0000,616.6666,1369.9196,1000.9987
278,577.1929,536.5217,621.0526,1375.0346,1003.3511
279,577.1929,540.8695,621.0526,1380.1538,1005.6828
280,576.3157,538.2608,628.0701,1385.2806,1008.1353
281,574.5614,540.0000,628.0701,1390.4019,1008.0639
282,578.9473,538.2608,622.8070,1395.4924,1006.3763
283,582.4561,534.7825,625.4385,1400.6127,1008.1770
284,582.4561,538.2608,621.0526,1405.7320,1007.3163
285,581.5789,533.9130,621.9298,1410.8464,1005.0342
286,579.8245,539.1304,620.1754,1415.9781,1005.7214
287,579.8245,533.9130,616.6666,1421.1087,1000.7684
288,578.9473,535.6521,618.4210,1426.2420,1002.2714
289,578.9473,538.2608,616.6666,1431.3739,1002.5879
290,572.8070,538.2608,614.9122,1436.4940,997.9728
291,574.5614,538.2608,613.1578,1441.5264,997.9018
292,571.0526,538.2608,614.0350,1446.5556,996.4260
293,574.5614,540.8695,618.4210,1451.5749,1002.5494
294,573.6842,535.6521,612.2807,1456.6975,995.4519
295,574.5614,533.9130,618.4210,1461.7301,998.8135
296,573.6842,533.9130,619.2982,1466.7645,998.8528
297,573.6842,528.6956,620.1754,1471.7988,996.6193
298,575.4385,526.9565,616.6666,1476.8288,994.5303
299,582.4561,529.5652,624.5614,1481.8764,1004.8738
300,583.3333,527.8261,624.5614,1487.0087,1004.4675
301,581.5789,520.8695,628.0701,1492.1350,1002.0036
302,581.5789,520.0000,621.9298,1497.2542,997.7127
303,582.4561,513.9130,629.8245,1502.2790,1000.0203
304,582.4561,517.3912,623.6842,1507.4069,997.9633
305,585.9649,520.0000,624.5614,1512.4382,1001.9140
306,585.0877,521.7391,623.6842,1517.5396,1001.7590
307,585.0877,518.2608,624.5614,1522.6599,1000.4993
308,583.3333,519.1304,623.6842,1527.7747,999.3778
309,585.0877,516.5217,621.0526,1532.8033,997.4110
310,587.7192,519.1304,624.5614,1537.8249,1002.4905
311,585.9649,517.3912,620.1754,1542.9561,997.8307
312,589.4736,520.0000,621.0526,1547.9990,1001.7911
313,586.8421,520.0000,621.9298,1553.1077,1000.7898
314,589.4736,520.0000,621.9298,1558.2199,1002.3352
315,588.5964,508.6956,619.2982,1563.3406,994.3577
316,594.7368,513.9130,625.4385,1568.3710,1004.4859
317,596.4912,513.9130,626.3157,1573.4930,1006.0714
318,595.6140,509.5652,624.5614,1578.6094,1002.2423
319,591.2280,509.5652,621.9298,1583.7298,998.0000
320,590.3508,509.5652,628.0701,1588.7458,1001.3206
321,597.3684,513.9130,626.3157,1593.8608,1006.5917
322,598.2456,513.0434,625.4385,1598.9946,1006.1236
323,595.6140,516.5217,619.2982,1604.1192,1002.5372
324,595.6140,513.0434,622.8070,1609.2476,1002.9248
325,598.2456,513.9130,627.1929,1614.3750,1007.6583
326,599.1228,510.4347,626.3157,1619.4958,1005.8644
327,600.0000,514.7825,626.3157,1624.6156,1008.5993
